Origin,January.FlightCount,January.DepDly,January.ArrDly,February.FlightCount,February.DepDly,February.ArrDly,March.FlightCount,March.DepDly,March.ArrDly,April.FlightCount,April.DepDly,April.ArrDly,May.FlightCount,May.DepDly,May.ArrDly,June.FlightCount,June.DepDly,June.ArrDly,July.FlightCount,July.DepDly,July.ArrDly,August.FlightCount,August.DepDly,August.ArrDly,September.FlightCount,September.DepDly,September.ArrDly,October.FlightCount,October.DepDly,October.ArrDly,November.FlightCount,November.DepDly,November.ArrDly,December.FlightCount,December.DepDly,December.ArrDly
ECP,323,1905,2156,302,2494,2731,411,1835,1632,405,3111,3333,411,2761,2734,455,5114,4890,452,6332,6064,390,4371,4506,359,2227,2028,366,2489,2260,327,1312,1205,308,3348,3269
EGE,309,5224,5644,304,3556,3447,322,7099,6747,71,455,543,31,526,513,65,302,368,107,827,870,84,1245,1417,78,544,571,40,44,50,44,159,147,284,6813,5489
EKO,53,783,1044,50,280,410,53,727,769,51,203,271,53,41,108,56,72,111,56,501,491,58,30,58,55,63,122,52,519,565,49,279,336,53,330,612
ELM,179,1901,1885,181,1542,1576,199,1612,1535,151,832,918,150,752,720,146,1054,1039,148,842,745,151,3390,3079,145,662,542,150,1412,1367,139,1820,1622,101,1560,1606
ELP,879,6807,6736,806,2643,2349,940,9862,10245,886,9455,8978,916,9741,9130,983,15810,15792,969,15846,16060,1026,14283,14334,1048,7814,6652,978,6875,6845,952,7584,7548,995,13073,12216
ERI,58,478,665,53,408,421,58,936,964,55,266,335,57,725,705,56,325,507,55,1318,1311,58,571,708,55,394,343,57,675,732,116,3206,3366,69,1401,1662
ESC,52,727,744,50,923,923,56,434,574,51,395,448,53,56,92,52,1409,1341,52,638,562,54,1061,872,52,482,399,52,300,353,50,689,487,53,1648,1464
EUG,291,6195,7069,277,4498,4576,306,8041,8414,291,4216,4398,316,5621,5781,313,3650,3685,308,2821,2891,306,2466,2534,280,1106,1245,279,4800,5071,294,3168,3230,277,7646,8107
EVV,220,3534,3915,206,3331,4096,241,1997,2418,251,1538,2140,258,2972,3669,208,1891,2062,247,7568,7319,250,6336,6244,186,1350,1083,243,2044,1950,225,1949,1969,205,4481,4484
EWN,55,249,350,55,1155,1166,59,366,372,59,1330,1372,60,345,390,60,662,874,60,1450,1519,62,729,895,57,486,491,62,412,420,56,1084,1077,57,976,986
EWR,8526,106740,87543,8522,132588,117126,9706,106074,95907,9733,110384,91486,9499,108471,99701,9705,176411,172333,10183,272660,266190,10458,208170,197284,9730,123305,122317,10016,134118,131699,9745,143352,114124,10246,225303,241067
EYW,184,3136,2923,176,1542,1388,185,1729,1476,177,1177,1163,158,1792,1787,121,3380,3281,127,1341,1199,125,2726,2547,112,2220,2076,124,928,766,115,287,165,145,1040,880
FAI,174,471,662,162,372,463,174,792,895,171,1003,1379,220,663,828,279,2465,2437,310,2894,2409,288,5421,4962,186,494,473,179,654,766,167,187,629,173,1247,1367
FAR,374,8764,9170,324,2419,2221,322,2681,3161,281,2252,2191,373,3014,3328,411,3801,4358,350,5450,5872,361,4688,4968,325,2949,3392,313,3130,3353,261,2759,2903,281,6004,6833
FAT,598,9913,9729,551,4517,4617,567,9507,9757,659,5357,5566,705,10282,10443,765,11047,11665,774,9653,9807,764,11856,11891,700,6185,6315,739,8403,8277,734,8550,9404,796,14605,15183
FAY,154,1696,1621,134,1702,1425,143,1271,1173,140,2175,2052,144,1058,1126,142,898,1108,143,3430,3083,147,2090,1881,141,918,805,145,1216,985,138,1825,1663,130,2357,2325
FCA,138,1555,1961,136,995,964,185,1296,1568,172,342,442,181,890,990,185,1576,1592,309,2620,2428,308,2387,2323,261,1348,1337,166,1524,1613,158,1528,1669,172,2660,3302
FLG,157,1088,1271,147,862,870,168,1074,1261,151,408,520,159,387,427,170,1106,934,177,3404,3137,162,2385,2175,148,923,937,157,1142,1504,145,1758,2098,105,487,773
FLL,7678,119587,109331,7346,113469,105837,8071,121175,114955,7249,88793,87497,6838,93850,94574,6551,103837,109695,6766,129990,124787,6361,119600,124544,5630,61227,64529,6013,60413,56369,6930,54135,53669,8062,123781,120468
FNT,296,2174,2227,336,1739,1863,384,2203,2734,318,2542,2776,333,1110,1383,299,1722,1693,375,3867,3791,377,3605,3821,303,2276,2537,294,1865,2224,277,2293,2188,284,2250,2680
FSD,343,4230,5811,340,2817,3378,344,6433,6896,331,1328,1307,370,2974,3171,365,3417,3966,329,2671,3005,358,4327,4824,341,3746,3880,430,5165,5289,361,5879,6627,318,6339,6511
FSM,148,1205,1177,143,1168,1039,98,397,425,90,747,908,89,727,727,90,1325,1334,68,1305,1351,70,2828,2716,90,812,873,93,444,436,87,1410,1452,88,1256,1327
FWA,308,4169,4569,311,4947,5182,356,3533,3660,341,3273,3307,380,2937,3041,371,4143,4058,343,4766,4674,351,5368,5405,351,3345,3214,370,4118,4146,354,5769,5879,350,9228,9708
GCC,88,322,306,83,413,429,89,330,421,85,267,271,88,546,523,86,323,355,87,878,824,89,1279,1262,86,1156,1166,88,570,590,85,1191,1336,86,694,970
GEG,857,8855,9711,790,4973,4508,882,7217,7558,785,5454,5545,787,3279,3236,902,7431,7719,897,7841,7564,904,7017,7128,842,4412,4626,808,5812,5804,771,4583,4420,865,11436,12589
GFK,94,918,1073,110,1522,1736,167,1802,1726,142,396,350,84,198,178,149,2102,2179,120,1406,1406,115,603,593,82,154,250,174,918,978,158,1361,1471,160,4882,5292
GJT,188,1743,1793,195,751,962,266,1904,2001,237,319,522,325,2263,2732,281,864,1134,264,2062,2328,254,1027,1169,224,906,917,280,2239,2276,227,1993,2046,179,1437,1605
GNV,194,2310,2182,176,2166,2133,202,1800,1598,197,1551,1549,200,2306,2450,195,6493,5873,179,3072,3071,178,3377,3496,190,2216,2108,198,2008,1887,189,2068,1966,189,1826,1681
GPT,264,2791,3104,246,1974,2336,268,3009,3283,254,3697,3871,265,1462,1626,290,4363,4506,270,3549,3511,270,4532,4425,246,2041,1730,267,1187,1261,262,2322,2265,247,3184,3472
GRB,241,2887,3214,242,2354,2674,366,3317,3624,320,1492,1822,328,2804,2982,355,3396,3474,380,5127,5070,363,4311,4278,236,1511,1678,300,2928,3040,323,2055,2018,285,3153,3652
GRK,214,1144,1114,204,1583,1520,229,2117,2366,235,1699,1851,139,1317,1403,159,1915,2243,128,1491,1569,130,1558,1820,118,749,720,127,1379,1304,123,946,922,124,768,774
GRR,753,7481,8207,727,7512,7172,793,7624,8499,746,4796,5426,827,5202,5391,835,7724,7740,691,10086,10295,726,10657,10941,773,6357,6689,810,4943,4836,792,8525,8546,742,14201,17524
GSO,427,4294,4527,377,6393,6413,473,4157,4097,540,5387,5178,558,5000,5176,539,8207,7851,493,9319,9250,530,8867,8929,584,5938,6066,633,7387,7427,537,7052,6869,401,5136,4965
GSP,536,4548,4590,546,5885,6012,681,8153,8295,651,6286,6377,688,6338,6202,728,11970,11653,551,11090,10799,578,9027,9181,585,5386,5384,566,3036,3049,540,4930,4676,507,7536,7514
GTF,151,1887,2116,108,893,861,165,2489,2475,119,1350,1436,117,273,265,190,999,1016,245,2591,2559,227,2647,2642,148,529,643,124,82,195,112,870,1023,123,1833,2231
