Origin,Dest
DAL,SFO
DAL,LGA
DAL,PHL
DAL,PIT
DAL,SJC
DAL,AUS
DAL,ATL
DAL,AMA
DAL,SLC
DAL,BHM
DAL,ABQ
DAL,BNA
DAL,BOS
DAL,TUL
DAL,BUR
DAL,RSW
DAL,PNS
DAL,BWI
DAL,STL
DAL,SNA
DAL,CHS
DAL,CLT
DAL,SMF
DAL,TPA
DAY,DEN
DAY,DFW
DAY,MDW
DAY,TPA
DAY,MCO
DAY,DTW
DAY,ORD
DAY,BWI
DAY,MSP
DAY,ATL
DAY,EWR
DCA,PWM
DCA,CVG
DCA,MSP
DCA,LAX
DCA,MIA
DCA,OMA
DCA,JFK
DCA,ORD
DCA,EWR
DCA,ACK
DCA,DTW
DCA,FLL
DCA,MKE
DCA,DFW
DCA,SLC
DCA,SFO
DCA,IAH
DCA,SEA
DCA,DEN
DCA,ATL
DCA,BTR
DCA,AUS
DCA,BNA
DCA,SJU
DCA,CMH
DCA,HOU
DCA,MDW
DCA,DAL
DCA,STL
DCA,LAS
DCA,PHX
DCA,PBI
DCA,MSY
DCA,PHL
DCA,PIT
DCA,RSW
DCA,LGA
DCA,MCO
DCA,TPA
DCA,BTV
DCA,IND
DCA,BOS
DCA,CLE
DCA,CLT
DCA,TYS
DCA,JAX
DCA,PVD
DCA,BDL
DCA,MCI
DCA,PDX
DCA,CHS
DEN,GCC
DEN,HLN
DEN,DSM
DEN,DAL
DEN,MOT
DEN,HOU
DEN,ELP
DEN,JMS
DEN,COD
DEN,JAX
DEN,GRR
DEN,MFR
DEN,FAT
DEN,TYS
DEN,CMH
DEN,FAR
DEN,BWI
DEN,IAD
DEN,RNO
DEN,MCI
DEN,CLE
DEN,STL
DEN,CLT
DEN,FSD
DEN,FLL
DEN,CVG
DEN,GSO
DEN,BHM
DEN,MSN
DEN,GEG
DEN,MDW
DEN,LGA
DEN,OMA
DEN,SUN
DEN,BUR
DEN,OAK
DEN,PDX
DEN,BOS
DEN,XNA
DEN,ISN
DEN,SMF
DEN,DAY
DEN,TUL
DEN,MLI
DEN,IDA
DEN,SAT
DEN,ORF
DEN,LAR
DEN,ATL
DEN,MTJ
DEN,PSC
DEN,CPR
DEN,SGF
DEN,SBA
DEN,CHS
DEN,BUF
DEN,ALB
DEN,SGU
DEN,SJC
DEN,ACT
DEN,LNK
DEN,SDF
DEN,LBB
DEN,OTH
DEN,PSP
DEN,DTW
DEN,MAF
DEN,BFL
DEN,MSP
DEN,DFW
DEN,RDU
DEN,ABQ
DEN,RDM
DEN,LIT
DEN,JAC
DEN,FCA
DEN,BIL
DEN,ORD
DEN,ONT
DEN,SLC
DEN,AMA
DEN,DRO
DEN,RIC
DEN,TUS
DEN,EUG
DEN,MCO
DEN,MEM
DEN,PIT
DEN,EWR
DEN,ASE
DEN,HDN
DEN,TPA
DEN,MSO
DEN,GUC
DEN,ICT
DEN,HYS
DEN,JFK
DEN,GTF
DEN,RKS
DEN,IND
DEN,GJT
DEN,MKE
DEN,COS
DEN,SEA
DEN,HNL
DEN,PBI
DEN,LAS
DEN,BDL
DEN,PHX
DEN,LIH
DEN,BIS
DEN,AUS
DEN,KOA
DEN,RAP
DEN,EGE
DEN,SFO
DEN,SHV
DEN,MMH
DEN,BOI
DEN,RSW
DEN,MSY
DEN,IAH
DEN,CID
DEN,MIA
DEN,SAN
DEN,BNA
DEN,PHL
DEN,OKC
DEN,OGG
DEN,LAX
DEN,SNA
DEN,BZN
DEN,DCA
DEN,ANC
DFW,LAX
DFW,GPT
DFW,XNA
DFW,SJT
DFW,SJC
DFW,MSY
DFW,CMH
DFW,JAX
DFW,PIT
DFW,LBB
DFW,SDF
DFW,MTJ
DFW,JAC
DFW,TUS
DFW,LGA
DFW,MKE
DFW,SPI
DFW,BRO
DFW,VPS
DFW,GSP
DFW,BPT
DFW,LAS
DFW,SAT
DFW,ECP
DFW,SNA
DFW,ABQ
DFW,SPS
DFW,ONT
DFW,DRO
DFW,TPA
DFW,DAY
DFW,EGE
DFW,SLC
DFW,SHV
DFW,PBI
DFW,DSM
DFW,CAE
DFW,STL
DFW,MEI
DFW,CRP
DFW,OMA
DFW,JLN
DFW,PSP
DFW,PHX
DFW,BNA
DFW,MFE
DFW,LCH
DFW,BOS
DFW,MYR
DFW,AEX
DFW,FAT
DFW,GGG
DFW,PIB
DFW,ELP
DFW,CHA
DFW,FSM
DFW,AMA
DFW,CLT
DFW,CLE
DFW,MGM
DFW,RNO
DFW,DTW
DFW,BWI
DFW,LFT
DFW,TUL
DFW,IAD
DFW,ORD
DFW,OGG
DFW,JFK
DFW,RSW
DFW,TLH
DFW,GRI
DFW,HOU
DFW,RIC
DFW,HSV
DFW,LAW
DFW,PIA
DFW,HDN
DFW,DEN
DFW,SFO
DFW,HNL
DFW,EWR
DFW,ASE
DFW,GRK
DFW,CVG
DFW,ABI
DFW,OKC
DFW,MAF
DFW,SMF
DFW,DCA
DFW,BTR
DFW,MCO
DFW,MOB
DFW,MHK
DFW,TYS
DFW,SEA
DFW,PHL
DFW,ORF
DFW,ANC
DFW,PNS
DFW,IAH
DFW,ROW
DFW,CLL
DFW,OAK
DFW,SAF
DFW,PDX
DFW,AUS
DFW,RDU
DFW,MLU
DFW,TYR
DFW,ACT
DFW,MIA
DFW,KOA
DFW,COS
DFW,SAN
DFW,SJU
DFW,BDL
DFW,ATL
DFW,MSP
DFW,MCI
DFW,GUC
DFW,IND
DFW,LRD
DFW,TXK
DFW,BOI
DFW,MEM
DFW,BHM
DFW,LIT
DFW,ICT
DFW,JAN
DFW,FLL
DFW,GCK
DHN,ATL
DLG,ANC
DLH,ORD
DLH,MSP
DRO,DEN
DRO,LAX
DRO,DFW
DRO,PHX
DSM,EWR
DSM,ATL
DSM,PHX
DSM,MSP
DSM,DFW
DSM,ORD
DSM,DTW
DSM,MDW
DSM,DEN
DSM,MCO
DSM,LAS
DSM,STL
DSM,SLC
DSM,IAH
DTW,SDF
DTW,PHL
DTW,IAH
DTW,ORD
DTW,APN
DTW,LAN
DTW,SJU
DTW,BGR
DTW,TUL
DTW,SBN
DTW,BNA
DTW,BOS
DTW,PIA
DTW,IND
DTW,MIA
DTW,DFW
DTW,MKE
DTW,LGA
DTW,ELM
DTW,PBI
DTW,HPN
DTW,JAX
DTW,MHT
DTW,SFO
DTW,IAD
DTW,MDW
DTW,MYR
DTW,MLI
DTW,ITH
DTW,OKC
DTW,EVV
DTW,CMH
DTW,PWM
DTW,RSW
DTW,AUS
DTW,ESC
DTW,PLN
DTW,DSM
DTW,CLT
DTW,MBS
DTW,CHA
DTW,FWA
DTW,BTV
DTW,TPA
DTW,RDU
DTW,LIT
DTW,BWI
DTW,SAN
DTW,BMI
DTW,BGM
DTW,LAX
DTW,PHX
DTW,CHS
DTW,LAS
DTW,ABE
DTW,CIU
DTW,SLC
DTW,MQT
DTW,CWA
DTW,SYR
DTW,CVG
DTW,ROC
DTW,BUF
DTW,FLL
DTW,PIT
DTW,MEM
DTW,GSO
DTW,CAK
DTW,CID
DTW,ATW
DTW,OMA
DTW,STL
DTW,HSV
DTW,BDL
DTW,SAV
DTW,ACY
DTW,DAY
DTW,GRR
DTW,CLE
DTW,TYS
DTW,MCO
DTW,ORF
DTW,DCA
DTW,MSY
DTW,MSN
DTW,ALB
DTW,RIC
DTW,TVC
DTW,AZO
DTW,EWR
DTW,ATL
DTW,ERI
DTW,LEX
DTW,GSP
DTW,MDT
DTW,PDX
DTW,MCI
DTW,DEN
DTW,PVD
DTW,AVP
DTW,SRQ
DTW,JFK
DTW,TTN
DTW,SEA
DTW,GRB
DTW,BHM
DTW,SAT
DTW,SCE
DTW,MSP
DTW,DAL
DVL,DEN
DVL,JMS
EAU,ORD
ECP,BNA
ECP,DAL
ECP,HOU
ECP,STL
ECP,BWI
ECP,IAH
ECP,ATL
EFD,IAH
EGE,DFW
EGE,ATL
EGE,PHX
EGE,ORD
EGE,JFK
EGE,DEN
EGE,LAX
EGE,MIA
EGE,IAD
EGE,IAH
EGE,EWR
EKO,SLC
ELM,ATL
ELM,DTW
ELM,ORD
ELP,DFW
ELP,LAS
ELP,IAH
ELP,HOU
ELP,DAL
ELP,PHX
ELP,AUS
ELP,SAT
ELP,LAX
ELP,DEN
ELP,ATL
ENV,EKO
ERI,DTW
ERI,ORD
ESC,DTW
EUG,LAX
EUG,DEN
EUG,TUS
EUG,SFO
EUG,SLC
EUG,SGU
EVV,ATL
EVV,DTW
EVV,ORD
EWN,ATL
EWR,SJU
EWR,DSM
EWR,RDU
EWR,PHX
EWR,OKC
EWR,AVL
EWR,RSW
EWR,MKE
EWR,FNT
EWR,XNA
EWR,MCI
EWR,AUS
EWR,SRQ
EWR,SAT
EWR,STT
EWR,TVC
EWR,MTJ
EWR,MSY
EWR,BOS
EWR,SAN
EWR,JAC
EWR,CLE
EWR,HDN
EWR,BZN
EWR,EGE
EWR,BGR
EWR,MHT
EWR,TYS
EWR,MSN
EWR,PWM
EWR,SAV
EWR,PIT
EWR,FWA
EWR,ORF
EWR,CHA
EWR,JAX
EWR,DCA
EWR,FLL
EWR,PBI
EWR,MCO
EWR,SEA
EWR,STL
EWR,MDW
EWR,HOU
EWR,BNA
EWR,TPA
EWR,MEM
EWR,GSP
EWR,ALB
EWR,ANC
EWR,BWI
EWR,SBN
EWR,PDX
EWR,GRR
EWR,ROC
EWR,CHS
EWR,CVG
EWR,IND
EWR,SYR
EWR,GSO
EWR,CMH
EWR,AVP
EWR,PVD
EWR,RIC
EWR,CAK
EWR,OMA
EWR,LEX
EWR,SNA
EWR,DAY
EWR,BQN
EWR,MYR
EWR,ATL
EWR,BUF
EWR,BTV
EWR,SDF
EWR,BDL
EWR,CLT
EWR,IAD
EWR,HNL
EWR,MIA
EWR,LAS
EWR,LAX
EWR,ORD
EWR,SFO
EWR,DTW
EWR,SLC
EWR,MSP
EWR,DEN
EWR,DFW
EWR,IAH
EYW,ATL
FAI,MSP
FAI,ANC
FAI,SEA
FAI,ORD
FAR,DEN
FAR,ORD
FAR,JMS
FAR,ATL
FAR,MSP
FAT,PDX
FAT,SEA
FAT,SAN
FAT,PHX
FAT,DEN
FAT,DFW
FAT,SLC
FAT,LAX
FAT,SFO
FAY,ATL
FCA,SLC
FCA,ORD
FCA,MSP
FCA,SFO
FCA,DEN
FCA,LAX
FCA,ATL
FLG,PHX
FLL,TTN
FLL,AUS
FLL,PHX
FLL,BDL
FLL,OKC
FLL,EWR
FLL,BOS
FLL,BWI
FLL,SFO
