Origin,Monday.FlightCount,Monday.DepDly,Monday.ArrDly,Tuesday.FlightCount,Tuesday.DepDly,Tuesday.ArrDly,Wednesday.FlightCount,Wednesday.DepDly,Wednesday.ArrDly,Thursday.FlightCount,Thursday.DepDly,Thursday.ArrDly,Friday.FlightCount,Friday.DepDly,Friday.ArrDly,Saturday.FlightCount,Saturday.DepDly,Saturday.ArrDly,Sunday.FlightCount,Sunday.DepDly,Sunday.ArrDly
HRL,438,2883,3226,440,2809,2871,444,3958,3859,443,3093,3296,442,4919,4817,360,2302,2230,408,3604,4054
HSV,623,6058,6065,607,6289,5546,606,4920,4956,637,5811,5838,646,6193,6029,443,2368,2353,507,4897,4500
HYA,17,47,30,13,32,19,12,230,167,18,373,370,22,313,315,17,398,381,22,396,331
HYS,104,1554,1614,104,1059,1291,104,821,934,104,500,597,106,1061,1190,53,214,146,51,289,302
IAD,5070,65170,62775,5020,55608,58122,5072,51795,51752,5087,66899,69192,5180,60161,58240,4154,55359,51136,4905,55920,52508
IAG,97,836,771,28,346,331,58,926,882,28,283,318,99,1397,1228,60,661,526,28,285,266
IAH,20623,237444,221128,19146,189348,181837,19862,214773,208261,20707,268302,262093,21146,259151,246304,16367,165552,147323,19526,252611,232995
ICT,1176,12395,12196,1134,12544,12296,1184,15544,15264,1168,11996,12190,1175,14737,15130,907,6378,6438,1119,11806,12146
IDA,363,3217,3582,369,2557,2826,365,2760,2939,360,3092,3518,368,3950,4313,301,2892,3466,357,1872,2071
ILM,382,5722,6280,385,6029,5974,382,3675,3674,389,5188,4972,394,5507,5537,302,2459,2756,351,3511,3291
IMT,104,2432,2284,104,552,481,104,2234,1212,104,1250,1170,105,892,836,106,312,355,50,1145,1041
IND,3992,45346,43846,3995,34350,36411,4001,43236,44287,4058,49947,49431,4098,43412,42852,3074,28168,27088,3802,38538,39792
INL,103,1010,1219,94,1204,1369,93,1896,1976,103,1516,1005,104,2507,2004,66,792,823,65,1907,1937
ISN,247,1925,2185,248,1790,1512,237,3647,3790,246,4241,4263,238,2532,2525,180,2362,2345,248,1825,1850
ISP,675,4920,4703,676,5256,4350,679,6161,5439,676,6959,6560,691,7337,7398,657,6122,5981,652,5863,5393
ITH,134,3079,2989,136,894,1132,136,2373,2410,135,3528,3757,138,1252,1368,93,764,908,131,1931,1928
ITO,879,3084,3795,858,2132,2687,828,3296,4075,877,4021,4525,921,3514,4331,808,2984,3429,803,2940,3679
JAC,531,7031,7430,509,6706,8377,510,8014,7518,514,7657,7778,541,9707,9906,678,14498,14795,648,8188,7969
JAN,798,8547,8408,762,9969,9828,777,7860,7859,796,8449,8586,815,7938,8027,547,5189,5435,706,8219,8244
JAX,2789,29827,29061,2761,31681,31679,2792,25941,26356,2785,31537,31509,2859,31570,30314,2230,21821,21543,2528,26900,25492
JFK,14498,227255,222910,13719,178178,175207,14021,155222,158090,14554,241506,260232,14752,278216,288611,12951,208947,203373,14277,248478,244366
JLN,63,867,756,63,510,563,62,1298,1344,62,494,508,62,656,434,62,330,453,62,1330,1301
JMS,156,1906,1856,104,1006,960,156,589,709,155,3780,3542,159,1904,1817,80,343,358,129,2069,2287
JNU,674,4377,4568,673,3992,4627,658,4502,4935,667,3718,4083,676,4066,4310,602,5590,5253,630,4168,4176
KOA,1710,13779,13438,1611,9216,9243,1703,8894,9297,1742,10058,10065,1910,11081,11434,1966,16105,15781,1837,11358,11927
KTN,356,2470,2459,357,1848,1870,357,2797,2862,354,1811,1780,363,3540,3723,332,3081,3126,356,2703,2831
LAN,363,5360,5685,363,4607,5113,372,6404,6842,374,5500,5904,384,4257,4842,267,1791,2213,311,2161,2392
LAR,104,1907,1954,104,603,748,104,669,629,103,1410,1380,105,956,876,53,98,156,53,1021,999
