Origin,TotalFlightCount,TotalCarrierDly,TotalWeatherDly,TotalNASDly,TotalSecurityDly,TotalLateAircraftDly,AvgDly
ONT,19761,39336,5427,48384,288,95056,9.54 
ORD,246721,1079696,229430,781280,1749,1366587,14.02 
ORF,11138,48592,4548,33331,8,43292,11.65 
ORH,721,3506,57,2393,0,6046,16.65 
OTH,300,195,0,1116,0,5288,22.00 
OTZ,725,1032,363,188,57,1333,4.10 
PAH,684,3597,577,3204,0,2549,14.51 
PBG,371,317,32,2584,0,667,9.70 
PBI,24396,85538,9607,94444,624,138664,13.48 
PDX,58796,132217,13282,137301,111,175486,7.80 
PHF,1127,3794,22,1381,0,4557,8.65 
PHL,74528,287945,24938,264802,1750,272155,11.43 
PHX,162521,481801,29577,340347,5161,585668,8.88 
PIA,2952,15614,2041,7147,0,14872,13.44 
PIB,627,6677,0,1323,0,2696,17.06 
PIH,926,1217,191,1312,0,3771,7.01 
PIT,25451,66404,6180,46934,114,77056,7.73 
PLN,1101,6604,346,655,0,9480,15.52 
PNS,5976,13032,1673,9981,32,25415,8.39 
PPG,121,2183,119,2264,6,2546,58.83 
PSC,3808,15342,1558,7424,0,15539,10.47 
PSE,863,691,0,559,0,6404,8.87 
PSG,728,437,86,369,19,3413,5.94 
PSP,10061,52578,1671,43455,29,44922,14.18 
PVD,12714,27481,5383,30797,34,37319,7.95 
PWM,6370,27273,2208,27190,46,28221,13.33 
RAP,3004,12918,935,4873,0,12169,10.28 
RDD,991,2016,37,5893,0,5764,13.83 
RDM,2787,13334,2738,11430,0,13760,14.81 
RDU,35140,112401,13201,96661,174,151893,10.65 
RHI,1042,3625,818,1290,29,6054,11.34 
RIC,15947,84493,3931,56009,33,69642,13.43 
RKS,660,699,833,1416,0,1539,6.80 
RNO,14213,38718,5273,35925,57,66727,10.32 
ROA,2214,6586,48,5714,0,12608,11.27 
ROC,7404,23175,3774,22152,10,27300,10.32 
ROW,440,356,117,504,0,2832,8.66 
RST,1211,4974,1128,1916,0,7007,12.41 
RSW,29466,80608,7824,86499,202,151473,11.08 
SAF,1212,12128,0,2592,0,10991,21.21 
SAN,78620,165828,13151,211430,1524,305830,8.88 
SAT,31025,81485,8880,52737,84,128141,8.75 
SAV,7326,31170,4118,26231,29,28568,12.30 
SBA,5983,21274,1263,33414,98,36797,15.52 
SBN,5314,29492,2405,14126,68,20193,12.47 
SBP,3193,9254,607,12658,12,18386,12.81 
SCC,834,82,645,374,0,1557,3.19 
SCE,746,1246,1675,3735,0,2892,12.80 
SDF,9970,39019,3742,24255,175,36078,10.36 
SEA,132950,372476,29185,296056,1157,336789,7.79 
SFO,173195,649071,27616,376753,1470,1209135,13.07 
SGF,2800,7616,726,7133,0,15468,11.05 
SGU,2079,4091,524,2297,19,4716,5.60 
SHV,5945,35897,1623,12771,0,25617,12.77 
SIT,1370,4251,713,627,42,3514,6.68 
SJC,42304,115711,7089,68289,1190,177056,8.73 
SJU,27148,89605,2632,38098,422,149189,10.31 
