Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
SAF,180,3457,3697,1556,0,389,0,1555
SAN,11524,113414,111364,20767,2811,26985,197,46392
SAT,4634,43361,44440,10801,1661,8941,0,18066
SAV,1045,15126,14414,5597,99,3095,0,4634
SBA,879,15950,16823,3949,281,5833,0,5817
SBN,788,12523,12359,5678,44,1868,1,4007
SBP,448,4450,5159,530,101,1401,0,2608
SCC,130,274,345,0,80,74,0,107
SCE,109,676,966,80,118,356,0,313
SDF,1486,15692,15147,4464,90,3550,0,5803
SEA,19479,188945,191026,58357,10164,40750,70,58040
SFO,25614,393144,382103,101508,3883,60395,299,187920
SGF,410,5604,5645,2286,183,673,0,2180
SGU,298,2679,2847,1004,97,205,0,1103
SHV,888,12174,13057,5873,41,2163,0,4143
SIT,200,1017,1266,354,65,151,0,491
SJC,6402,58707,59333,15524,648,10563,227,23626
SJT,141,2692,2974,1447,0,277,0,1038
SJU,3806,47681,46428,13552,176,5977,45,22755
SLC,16041,145122,152996,51897,4329,31377,215,47669
SMF,6209,66296,66297,15232,719,11946,109,29842
SMX,80,1317,1438,199,0,390,0,778
SNA,6442,61485,59630,13077,1582,14907,91,21815
SPI,255,4810,5230,1730,1,701,0,2619
SPN,1,24,15,15,0,0,0,0
SPS,119,2480,2709,1429,0,303,0,875
SRQ,469,7263,6723,2139,0,1438,0,2693
STL,8281,90038,86114,24383,1835,16317,56,33353
STT,678,9236,8880,2052,304,1294,0,4685
STX,152,1082,1191,404,0,219,5,416
SUN,174,2645,2746,189,267,951,12,1235
SWF,106,2122,1942,484,25,231,0,1113
SYR,881,11972,12736,3734,499,4258,0,3593
TLH,385,4403,4604,1372,0,1028,0,1969
TPA,9943,109414,105736,28080,3104,22021,47,43367
TRI,326,3385,3423,1203,0,519,0,1467
TTN,300,3536,3535,641,46,980,0,1686
TUL,2139,19985,21084,8101,864,4242,0,6077
TUS,2335,23617,23714,5813,373,5854,5,9316
TVC,301,3407,3221,942,62,420,0,1597
TWF,161,1181,1126,473,206,61,0,178
TXK,134,2394,2623,727,0,259,0,1496
TYR,66,360,401,85,0,39,0,246
TYS,1119,13001,13918,4519,63,2725,0,5638
UST,25,393,355,58,0,126,0,164
VLD,153,1371,1558,535,0,150,0,721
VPS,616,8199,7330,2472,0,1107,0,3202
WRG,104,651,686,191,0,72,0,338
WYS,34,321,281,125,0,0,0,68
XNA,909,13741,13654,5724,38,2204,0,4929
YAK,103,435,192,0,0,1,0,143
YUM,294,2543,2872,1094,76,388,0,924
