Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
LAW,86,1177,1130,910,0,30,0,154
LAX,16990,185009,180126,51686,1543,37555,98,69053
LBB,386,3531,3085,868,148,354,0,1474
LBE,95,1261,1274,223,0,465,0,518
LCH,71,461,516,0,86,157,0,252
LEX,358,3062,2941,1110,0,542,0,1094
LFT,268,1772,1773,230,38,351,0,929
LGA,7752,93060,90194,26177,1524,19964,24,36011
LGB,759,6023,6883,681,0,2474,0,3011
LIH,944,2840,3250,476,37,345,19,1555
LIT,682,4007,3969,614,423,870,0,1482
LNK,201,1786,1868,648,191,384,0,522
LRD,163,1363,1618,931,108,265,0,228
LSE,48,499,435,217,0,27,0,157
LWS,60,18,11,,,,,
MAF,515,4891,4852,1425,495,760,0,1758
MBS,177,1020,1196,67,0,340,0,648
MCI,3622,30357,29326,5744,2223,5112,1,12879
MCO,10908,118992,117159,34595,2917,20774,291,47189
MDT,192,887,767,316,0,114,0,257
MDW,7299,61265,52424,17516,2214,7783,0,16269
MEI,81,2273,2365,710,0,149,0,1446
MEM,1150,11390,11580,3430,1320,2151,0,3589
MFE,186,1517,1472,579,204,363,0,252
MFR,227,2991,2980,765,0,687,0,1380
MGM,224,1335,1425,406,0,223,0,547
MHT,575,4490,4899,2047,139,1575,0,617
MIA,5866,69479,76158,27408,2381,17730,115,21222
MKE,2754,24443,24255,6155,1535,4603,2,9437
MKG,55,786,722,2,16,157,0,499
MLB,145,1209,1076,354,0,101,0,573
MLI,306,1796,1872,520,0,183,0,904
MLU,242,1925,1725,812,0,230,0,461
MMH,3,0,0,,,,,
MOB,372,2706,3330,525,18,1324,0,1045
MOT,155,904,873,80,25,136,0,509
MQT,55,848,1020,246,369,128,0,203
MRY,200,1464,1664,677,0,281,0,637
MSN,653,3613,3612,1146,0,638,0,1525
MSO,154,395,488,183,0,115,0,137
MSP,10652,67992,62450,24659,1231,13150,36,15623
MSY,3681,39314,39365,9599,1250,7507,42,16960
MTJ,59,171,232,0,0,78,0,139
MYR,549,6277,6250,1364,279,2006,0,2117
OAJ,113,927,971,462,0,17,0,308
OAK,3840,34443,36791,6212,694,6776,71,16913
OGG,1892,12106,12528,5637,34,819,39,3783
OKC,1265,8768,8527,2422,853,1142,0,2986
OMA,1429,8643,8258,1756,292,1576,0,3568
OME,60,393,459,60,16,32,0,274
ONT,1646,16633,16460,2987,274,2627,0,8715
ORD,19796,216862,198809,62427,6194,38146,160,72398
ORF,965,8502,8623,3318,41,2184,0,2192
ORH,60,1197,1099,488,0,114,0,471
OTH,17,455,480,0,0,27,0,430
OTZ,60,205,233,104,28,8,11,20
PAH,56,964,1039,635,0,272,0,61
PBG,28,173,197,5,0,111,0,39
PBI,2293,29375,28631,7577,111,6298,0,12727
PDX,4595,28145,30693,7316,404,7240,0,10264
PHF,90,397,392,181,0,29,0,112
PHL,5920,55788,59809,20237,1783,15955,269,16059
PHX,13404,103740,105526,30838,1594,22742,478,33160
PIA,225,2625,2647,1194,29,179,0,948
PIB,51,1096,1198,543,0,47,0,528
PIH,81,28,202,0,0,114,0,21
PIT,2085,16884,16903,7208,40,3186,0,4812
PLN,85,2034,1995,771,0,91,0,1085
PNS,482,3743,4091,1390,204,723,0,1346
PPG,9,2441,2471,63,119,2264,0,15
PSC,327,4258,4292,1909,117,739,0,1172
PSE,60,866,792,50,0,24,0,698
PSG,60,132,168,11,0,43,0,91
PSP,1033,10593,11023,3279,15,2806,0,3809
PVD,1070,7199,7879,2249,215,2456,0,2092
PWM,485,4010,4353,785,0,1497,0,1662
RAP,249,1711,1897,1055,67,204,0,331
RDD,86,1432,1322,428,37,382,0,465
RDM,175,2073,2127,569,0,342,0,1143
RDU,2838,27934,29013,9100,719,6526,0,10042
RHI,85,621,575,0,0,39,0,507
RIC,1283,11943,12724,3758,64,4034,0,3908
RKS,55,599,830,388,47,223,0,135
RNO,1087,11804,12540,3263,502,2618,16,5052
ROA,195,3667,3500,1919,0,470,0,954
ROC,509,3942,4134,1749,70,952,0,969
ROW,35,122,218,5,0,71,0,64
RST,113,685,579,16,0,39,0,480
RSW,3030,34198,35214,6846,468,9374,15,15689
SAF,89,2154,2349,1228,0,180,0,798
SAN,6373,54831,54836,11085,1279,12993,121,21650
SAT,2450,27048,26994,6526,1400,3763,5,12705
SAV,639,5498,5167,1477,107,1320,0,1643
SBA,496,5515,5746,1471,0,1389,0,2471
SBN,445,5116,5225,2693,109,636,0,1280
SBP,280,4181,4464,1964,0,888,0,1278
SCC,78,380,448,19,0,39,0,334
SCE,60,312,373,15,0,74,0,219
SDF,827,8513,8088,3574,436,1450,18,1909
SEA,10311,67867,79228,23181,507,19886,48,20352
SFO,13955,163134,172208,42371,1426,31590,156,79820
SGF,221,1201,1410,432,0,352,0,424
SGU,175,645,697,174,0,87,0,311
SHV,438,4313,4451,1661,119,1014,0,1305
SIT,90,185,218,30,0,0,0,96
SJC,3264,29158,30155,6257,638,5394,230,12983
SJT,86,548,698,169,0,136,0,258
SJU,2350,20879,21675,6800,87,2823,0,9342
SLC,8652,53139,53996,20443,2792,9511,0,13102
SMF,3281,27766,28836,5569,340,5676,0,13033
SMX,60,559,647,0,0,179,0,455
SNA,3478,28601,27347,4691,754,6493,0,11384
SPI,145,1377,1544,792,0,265,0,340
SPS,64,189,193,90,0,0,0,54
SRQ,344,4556,4539,690,51,1232,0,2209
STL,4535,45430,43182,9838,1614,8038,0,18575
STT,492,4064,3998,1312,59,1153,0,1175
STX,104,844,819,569,0,51,0,100
SUN,64,1,6,,,,,
SWF,60,622,646,93,23,189,0,263
SYR,464,5088,5577,1577,165,2532,0,1046
TLH,257,1755,1958,1018,0,327,0,436
TPA,6068,58975,58203,12638,987,11214,0,27372
TRI,166,1801,1568,546,0,1,0,978
TTN,166,591,604,115,38,350,0,36
TUL,1185,9324,10038,3217,295,2183,2,3319
TUS,1315,13822,12896,5586,679,2077,0,3413
TVC,129,1076,1250,222,0,318,0,532
TWF,86,35,28,,,,,
TXK,59,715,871,522,0,165,0,142
TYR,6,2,0,,,,,
TYS,581,4936,5599,1966,0,1323,0,1664
UST,17,263,268,9,0,0,0,237
VLD,85,593,733,515,0,93,0,39
VPS,388,2796,3083,954,17,465,0,1329
WRG,60,166,204,101,0,3,0,32
XNA,499,6116,6279,2736,287,923,0,1905
YAK,60,315,339,13,0,18,0,271
YUM,174,309,448,33,0,84,0,88
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
