Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
OMA,1576,12566,13104,5137,1511,2516,0,2763
OME,59,320,365,71,0,7,2,190
ONT,1595,10256,10506,1867,197,2410,0,4065
ORD,20406,250291,247603,68733,12208,50963,95,94822
ORF,904,10049,9262,2583,308,2517,8,3290
ORH,58,389,512,20,0,211,0,244
OTH,37,416,492,4,0,251,0,210
OTZ,59,132,166,29,22,24,13,40
PAH,56,300,404,37,0,266,0,50
PBG,23,113,89,0,0,85,0,0
PBI,1528,17085,17365,2809,2157,4158,0,6903
PDX,4913,31408,31147,5772,349,9630,0,10378
PHF,83,449,317,73,0,5,0,219
PHL,5904,72406,80687,26282,1830,25893,30,21187
PHX,11963,74158,75911,26115,1370,15929,31,20222
PIA,210,2326,2559,1478,18,349,0,517
PIB,52,856,821,634,0,15,0,151
PIH,80,76,98,0,0,25,0,22
PIT,2063,14040,14511,3960,149,3235,0,5345
PLN,86,1544,1484,956,0,13,0,452
PNS,479,2382,2234,233,4,465,0,1272
PPG,9,38,38,19,0,0,0,19
PSC,319,2167,2399,1052,0,418,0,613
PSE,59,784,611,66,0,28,0,502
PSG,60,413,417,127,25,13,0,213
PSP,592,5446,5580,2261,0,1452,0,1257
PVD,990,6511,6398,1376,217,2172,15,1805
PWM,721,7900,8544,2923,40,2134,0,2921
RAP,241,2500,2486,1197,59,382,0,651
RDD,85,699,728,0,0,506,0,169
RDM,268,1917,2025,760,0,644,0,405
RDU,2866,26309,26857,6330,1195,7324,5,9096
RHI,86,597,725,181,164,93,0,168
RIC,1404,17103,17813,5264,698,5341,15,5640
RKS,56,633,698,0,0,673,0,0
RNO,1289,11286,11471,2996,368,2619,0,4220
ROA,193,2252,2075,619,0,460,0,765
ROC,655,5523,5658,1960,261,1582,0,1325
ROW,56,669,673,126,38,28,0,429
RST,114,2669,2598,1146,377,85,0,948
RSW,1345,14732,14618,3887,542,2910,0,6232
SAF,107,2187,2269,1493,0,126,0,536
SAN,6433,55221,55913,13472,2324,13589,23,19119
SAT,2517,16437,17985,4183,394,3665,0,6828
SAV,654,5953,6158,1986,67,2006,0,1621
SBA,517,7185,7349,2451,389,1674,0,2221
SBN,453,3867,4029,1572,13,1405,0,653
SBP,258,1656,1754,54,0,933,0,510
SCC,60,182,185,0,116,37,0,0
SCE,57,499,483,54,219,32,0,120
SDF,830,5600,5067,1837,17,1324,0,1415
SEA,10997,67306,69792,21931,681,18278,2,15889
SFO,14425,144049,152267,41284,2667,32370,24,60196
SGF,221,1380,1226,253,3,221,0,631
SGU,173,350,452,47,0,183,0,75
SHV,494,5935,6472,2903,0,698,0,2405
SIT,97,452,519,64,168,50,20,80
SJC,3565,23731,24920,5650,145,5499,0,9360
SJT,122,1341,1650,496,0,268,0,681
SJU,1607,15332,14294,4152,0,1973,16,6821
SLC,8866,45893,50187,12627,2104,11253,19,15266
SMF,3387,23589,24550,4550,623,4867,0,10402
SMX,60,1337,1417,625,0,283,0,428
SNA,3511,23383,24598,4912,554,6170,0,8674
SPI,145,694,666,110,0,205,0,254
SPS,85,664,847,331,0,215,0,246
SRQ,190,1318,1188,136,170,349,0,423
STL,4569,37693,38697,12285,1066,8348,15,11506
STT,251,3887,3788,872,0,742,63,1951
STX,60,411,405,18,0,54,0,295
SUN,109,692,750,0,0,338,0,383
SWF,60,1017,1019,454,42,70,0,392
SYR,497,5492,5529,2653,15,869,0,1652
TLH,191,913,806,271,343,14,0,123
TPA,4627,41422,42216,8781,1229,8718,0,18981
TRI,188,3350,3132,1569,0,105,0,1344
TTN,178,3607,3648,1411,0,541,0,1587
TUL,1163,6517,7099,1904,90,1643,0,2618
TUS,1171,9740,10063,1915,781,2278,0,4003
TVC,182,1845,1775,947,117,86,0,537
TWF,83,53,121,0,0,58,0,37
TXK,57,350,459,173,0,44,0,125
TYS,605,7401,7524,3580,5,1554,0,1858
UST,29,410,352,0,45,17,0,269
VLD,85,493,614,110,0,103,0,331
VPS,305,2356,2100,894,41,358,0,675
WRG,60,156,192,26,9,26,0,103
WYS,52,214,240,32,0,69,0,81
XNA,508,8196,8288,3529,0,1142,0,3312
YAK,60,158,160,4,0,10,18,66
YUM,154,807,822,292,0,19,0,413
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
